RESP_DATE,GEOID10,DRRALL,DRRINT,CRRALL,CRRINT,county,tract,state,GEO_ID,UID
4/6/20 0:00,48491020405,0.7,0.7,43.3,43.1,Williamson,204.05,Texas,1400000US48491020405,2020040648491020405
4/6/20 0:00,48491020408,0.9,0.9,41.7,41.2,Williamson,204.08,Texas,1400000US48491020408,2020040648491020408
4/6/20 0:00,48491020410,0.8,0.8,46.9,46.6,Williamson,204.1,Texas,1400000US48491020410,2020040648491020410
4/6/20 0:00,48491020411,1.4,1.4,51.1,51,Williamson,204.11,Texas,1400000US48491020411,2020040648491020411
4/6/20 0:00,48491020503,0.9,0.9,62.8,62.2,Williamson,205.03,Texas,1400000US48491020503,2020040648491020503
4/6/20 0:00,48491020505,2.4,2.4,56.2,56.2,Williamson,205.05,Texas,1400000US48491020505,2020040648491020505
4/6/20 0:00,48491020507,0.9,0.9,43.4,43.2,Williamson,205.07,Texas,1400000US48491020507,2020040648491020507
4/6/20 0:00,48491020508,0.9,0.9,37.4,37.4,Williamson,205.08,Texas,1400000US48491020508,2020040648491020508
4/6/20 0:00,48491020509,1.5,1.5,60.8,60.8,Williamson,205.09,Texas,1400000US48491020509,2020040648491020509
4/6/20 0:00,48491020511,0.6,0.6,41.4,40.9,Williamson,205.11,Texas,1400000US48491020511,2020040648491020511
4/6/20 0:00,48491020512,0.9,0.9,34.2,34.1,Williamson,205.12,Texas,1400000US48491020512,2020040648491020512
4/6/20 0:00,48491020513,1.1,1.1,32,32,Williamson,205.13,Texas,1400000US48491020513,2020040648491020513
4/6/20 0:00,48491020514,0.4,0.4,63.1,63,Williamson,205.14,Texas,1400000US48491020514,2020040648491020514
4/6/20 0:00,48491020515,0.6,0.6,56.4,56.3,Williamson,205.15,Texas,1400000US48491020515,2020040648491020515
4/6/20 0:00,48491020516,1.2,1.2,57.5,57.4,Williamson,205.16,Texas,1400000US48491020516,2020040648491020516
4/6/20 0:00,48491020517,0.7,0.7,56.5,56.3,Williamson,205.17,Texas,1400000US48491020517,2020040648491020517
4/6/20 0:00,48491020602,0.4,0.4,49.2,48.8,Williamson,206.02,Texas,1400000US48491020602,2020040648491020602
4/6/20 0:00,48491020604,1,1,52.6,52.5,Williamson,206.04,Texas,1400000US48491020604,2020040648491020604
4/6/20 0:00,48491020606,0.8,0.8,63.8,63.8,Williamson,206.06,Texas,1400000US48491020606,2020040648491020606
4/6/20 0:00,48491020607,2.1,2.1,60.8,60.7,Williamson,206.07,Texas,1400000US48491020607,2020040648491020607
4/6/20 0:00,48491020608,1.6,1.6,54.5,54.5,Williamson,206.08,Texas,1400000US48491020608,2020040648491020608
4/6/20 0:00,48491020701,0.6,0.6,31.5,30.6,Williamson,207.01,Texas,1400000US48491020701,2020040648491020701
4/6/20 0:00,48491020704,0.5,0.5,41.6,41,Williamson,207.04,Texas,1400000US48491020704,2020040648491020704
4/6/20 0:00,48491020707,0.6,0.6,45.7,45.5,Williamson,207.07,Texas,1400000US48491020707,2020040648491020707
4/6/20 0:00,48491020711,1.1,1.1,52.4,52.3,Williamson,207.11,Texas,1400000US48491020711,2020040648491020711
4/6/20 0:00,48491020712,1.3,1.3,51.3,51.1,Williamson,207.12,Texas,1400000US48491020712,2020040648491020712
4/6/20 0:00,48491020808,0.7,0.4,44.8,21.4,Williamson,208.08,Texas,1400000US48491020808,2020040648491020808
4/6/20 0:00,48491020811,1.1,1.1,50.8,50.8,Williamson,208.11,Texas,1400000US48491020811,2020040648491020811
4/6/20 0:00,48491020812,1.1,1.1,39,38.9,Williamson,208.12,Texas,1400000US48491020812,2020040648491020812
4/6/20 0:00,48491020814,1.4,1.4,62.2,62.2,Williamson,208.14,Texas,1400000US48491020814,2020040648491020814
4/6/20 0:00,48491020817,0.7,0.7,48.9,48.8,Williamson,208.17,Texas,1400000US48491020817,2020040648491020817
4/6/20 0:00,48491020819,0.5,0.5,57.4,57.4,Williamson,208.19,Texas,1400000US48491020819,2020040648491020819
4/6/20 0:00,48491020820,0.9,0.8,49,48.4,Williamson,208.2,Texas,1400000US48491020820,2020040648491020820
4/6/20 0:00,48491020822,0.6,0.6,39.3,39.1,Williamson,208.22,Texas,1400000US48491020822,2020040648491020822
4/6/20 0:00,48491020900,0.7,0.4,42.2,20.5,Williamson,209,Texas,1400000US48491020900,2020040648491020900
4/6/20 0:00,48491021100,0.6,0.6,35.7,35,Williamson,211,Texas,1400000US48491021100,2020040648491021100
